"date","cluster","rain","snow","thunderstorm","visibility","crosswind","scheduled"
"12/07/2014",13,1,0,0,7.7,17.5,863
"12/08/2014",18,0,0,0,10,13.3,1016
"12/09/2014",5,1,0,0,4.4,19,983
"12/10/2014",7,1,1,0,5.8,14.5,991
"12/11/2014",17,0,1,0,5.3,15.2,1012
"12/12/2014",12,0,0,0,10,6.8,1027
"12/13/2014",2,0,0,0,10,9.9,762
"12/14/2014",8,0,0,0,10,8.1,871
"12/15/2014",8,0,0,0,10,6.7,1023
"12/16/2014",12,0,0,0,10,2.2,1002
"12/17/2014",13,1,0,0,6.8,8.8,1010
"12/18/2014",10,0,0,0,10,14.9,1007
"12/19/2014",10,0,0,0,10,11.4,1033
"12/20/2014",2,0,0,0,10,6.5,891
"12/21/2014",12,0,0,0,10,4.2,947
"12/22/2014",7,1,0,0,10,5,983
"12/23/2014",16,1,0,0,4.2,6.2,975
"12/24/2014",16,1,0,0,2.1,4.9,820
"12/25/2014",13,1,0,0,3.9,17.3,737
"12/26/2014",12,0,0,0,10,9.7,967
"12/27/2014",12,0,0,0,10,4.7,878
"12/28/2014",12,1,0,0,10,5.6,936
"12/29/2014",12,0,0,0,10,6.4,943
"12/30/2014",12,0,0,0,10,7.4,927
"12/31/2014",2,0,0,0,10,10.6,789
"01/01/2015",2,0,0,0,10,12.5,771
"01/02/2015",18,0,0,0,10,13.7,977
"01/03/2015",14,1,1,0,6.7,7.2,881
"01/04/2015",16,1,0,0,2.1,6.7,947
"01/05/2015",18,0,0,0,10,19.4,1007
"01/06/2015",14,0,1,0,7.1,8.4,978
"01/07/2015",10,0,0,0,10,15.2,970
"01/08/2015",8,0,0,0,10,17.9,993
"01/09/2015",6,0,0,0,10,16.6,1001
"01/10/2015",2,0,0,0,10,14.6,730
"01/11/2015",12,0,0,0,10,5.9,862
"01/12/2015",16,1,0,0,6.2,4.5,991
"01/13/2015",6,1,0,0,10,12.5,948
"01/14/2015",6,0,0,0,10,6.6,944
"01/15/2015",6,0,0,0,10,6.9,978
"01/16/2015",6,0,0,0,10,12.3,985
"01/17/2015",2,0,0,0,10,13.3,694
"01/18/2015",16,1,0,0,6.2,5.7,765
"01/19/2015",10,0,0,0,7.7,12.6,956
"01/20/2015",8,0,0,0,10,10.4,943
"01/21/2015",12,0,0,0,10,5.6,940
"01/22/2015",15,0,1,0,8.7,5.6,973
"01/23/2015",12,0,0,0,10,5.7,982
"01/24/2015",16,1,1,0,3.4,6.1,711
"01/25/2015",8,0,0,0,10,12,843
"01/26/2015",9,0,1,0,5,10.5,969
"01/27/2015",17,0,1,0,1.2,22.6,938
"01/28/2015",8,0,0,0,10,14.2,936
"01/29/2015",6,0,0,0,10,4.7,971
"01/30/2015",9,0,1,0,7.3,9.9,981
"01/31/2015",2,0,0,0,10,18.5,697
"02/01/2015",2,0,0,0,10,9.3,765
"02/02/2015",5,1,1,0,4.2,10.9,977
"02/03/2015",8,0,0,0,10,13.9,937
"02/04/2015",6,0,0,0,10,7.9,935
"02/05/2015",9,0,1,0,6.2,16,970
"02/06/2015",8,0,0,0,10,15.5,981
"02/07/2015",2,0,1,0,8.8,5.7,712
"02/08/2015",2,0,0,0,6.9,5.4,841
"02/09/2015",11,1,1,0,4,10.8,974
"02/10/2015",6,0,0,0,10,13.1,940
"02/11/2015",18,0,0,0,10,13.1,935
"02/12/2015",14,0,1,0,8.3,6.4,985
"02/13/2015",8,0,0,0,10,15.2,1010
"02/14/2015",2,0,0,0,10,7.9,734
"02/15/2015",15,0,1,0,6.8,18.7,796
"02/16/2015",8,0,0,0,10,15.2,983
"02/17/2015",9,0,1,0,5.1,5.9,977
"02/18/2015",12,0,0,0,10,3.4,966
"02/19/2015",10,0,0,0,10,17.9,999
"02/20/2015",10,0,0,0,10,17.2,1011
"02/21/2015",2,0,0,0,10,7.3,760
"02/22/2015",15,1,1,0,4,5.8,865
"02/23/2015",10,0,0,0,10,12.1,998
"02/24/2015",8,0,0,0,10,10.8,973
"02/25/2015",6,0,0,0,10,9.4,968
"02/26/2015",6,0,0,0,10,8.5,994
"02/27/2015",12,0,0,0,10,5.5,1010
"02/28/2015",2,0,0,0,10,5.8,762
"03/01/2015",14,0,1,0,6.7,7.6,855
"03/02/2015",15,0,1,0,6.3,11.2,998
"03/03/2015",8,0,0,0,10,9.7,972
"03/04/2015",16,1,1,0,3.7,6.6,977
"03/05/2015",9,1,1,0,2.2,8.4,995
"03/06/2015",6,0,0,0,8,8.5,1018
"03/07/2015",2,0,0,0,10,7.9,800
"03/08/2015",10,0,0,0,10,10,936
"03/09/2015",1,0,0,0,10,8,1064
"03/10/2015",1,0,0,0,10,3.7,1040
"03/11/2015",13,1,0,0,5.8,7.8,1039
"03/12/2015",10,0,0,0,10,13,1062
"03/13/2015",1,0,0,0,10,7.7,1076
"03/14/2015",16,1,0,0,4.1,7,842
"03/15/2015",10,0,0,0,10,11.2,942
"03/16/2015",8,0,0,0,10,11.4,1065
"03/17/2015",1,0,0,0,10,10.2,1043
"03/18/2015",10,0,0,0,10,17.9,1042
"03/19/2015",8,0,0,0,10,11.3,1064
"03/20/2015",14,0,1,0,6.2,5.6,1078
"03/21/2015",15,0,1,0,5.1,7.4,845
"03/22/2015",10,0,0,0,10,11.4,947
"03/23/2015",10,0,0,0,10,12.1,1067
"03/24/2015",1,0,0,0,10,6.7,1048
"03/25/2015",12,0,0,0,10,5,1045
"03/26/2015",16,1,0,0,3.1,4.1,1067
"03/27/2015",11,1,0,0,7.7,8.7,1081
"03/28/2015",10,0,1,0,9,11.8,850
"03/29/2015",12,0,0,0,10,11.9,959
"03/30/2015",3,0,0,0,10,6.7,1088
"03/31/2015",1,0,0,0,10,7.4,1066
"04/01/2015",15,1,1,0,8.3,11.2,NA
"04/02/2015",12,0,0,0,10,10.6,NA
"04/03/2015",7,1,0,0,7.9,9.8,NA
"04/04/2015",10,0,0,0,8.7,16.3,NA
"04/05/2015",8,0,0,0,10,16,NA
"04/06/2015",12,0,0,0,10,6.6,NA
"04/07/2015",7,1,0,0,8.3,5.6,NA
"04/08/2015",12,1,0,0,8,9.7,NA
"04/09/2015",12,0,0,0,8.2,9,NA
"04/10/2015",11,1,0,0,2.8,6.8,NA
"04/11/2015",10,0,0,0,8.7,11.8,NA
"04/12/2015",8,0,0,0,10,8.4,NA
"04/13/2015",12,0,0,0,10,9,NA
"04/14/2015",11,1,0,0,7.4,14.2,NA
"04/15/2015",12,0,0,0,10,9.9,NA
"04/16/2015",12,0,0,0,10,8.4,NA
"04/17/2015",12,0,0,0,10,8.6,NA
"04/18/2015",12,0,0,0,10,11.8,NA
